name,taxon_code
Acorn Woodpecker,acowoo
American Avocet,ameavo
American Bittern,amebit
American Coot,y00475
American Crow,amecro
American Dipper,amedip
American Golden-Plover,amgplo
American Goldfinch,amegfi
American Kestrel,amekes
American Pipit,amepip
American Redstart,amered
American Robin,amerob
American Three-toed Woodpecker,attwoo1
American White Pelican,amwpel
American Wigeon,amewig
Anna's Hummingbird,annhum
Arctic Tern,arcter
Ash-throated Flycatcher,astfly
Bald Eagle,baleag
Band-tailed Pigeon,batpig1
Bank Swallow,banswa
Barn Owl,brnowl
Barn Swallow,barswa
Barred Owl,brdowl
Barrow's Goldeneye,bargol
Belted Kingfisher,belkin1
Bewick's Wren,bewwre
Black Oystercatcher,blkoys
Black Scoter,blksco2
Black Swift,blkswi
Black Turnstone,blktur
Black-billed Magpie,bkbmag1
Black-capped Chickadee,bkcchi
Black-crowned Night Heron,bcnher
Black-headed Grosbeak,bkhgro
Black-throated Gray Warbler,btywar
Blue-winged Teal,buwtea
Bonaparte's Gull,bongul
Boreal Chickadee,borchi2
Brandt's Cormorant,bracor
Brant,brant
Brewer's Blackbird,brebla
Brown Creeper,brncre
Brown Pelican,brnpel
Brown-headed Cowbird,bnhcow
Bufflehead,buffle
Bullock's Oriole,bulori
Burrowing Owl,burowl
Bushtit,bushti
Cackling Goose,cacgoo1
California Gull,calgul
California Quail,calqua
California Scrub-Jay,cowscj1
Calliope Hummingbird,calhum
Canada Goose,cangoo
Canada Jay,gryjay
Canvasback,canvas
Canyon Wren,canwre
Caspian Tern,caster1
Cassin's Finch,casfin
Cassin's Vireo,casvir
Cedar Waxwing,cedwax
Chestnut-backed Chickadee,chbchi
Chipping Sparrow,chispa
Cinnamon Teal,cintea
Clark's Grebe,clagre
Clark's Nutcracker,clanut
Cliff Swallow,cliswa
Common Goldeneye,comgol
Common Loon,comloo
Common Merganser,commer
Common Murre,commur
Common Nighthawk,comnig
Common Poorwill,compoo
Common Raven,comrav
Common Tern,comter
Common Yellowthroat,comyel
Cooper's Hawk,coohaw
Dark-eyed Junco,daejun
Double-crested Cormorant,doccor
Downy Woodpecker,dowwoo
Dunlin,dunlin
Dusky Flycatcher,dusfly
Dusky Grouse,dusgro
Eared Grebe,eargre
Eurasian Collared-Dove,eucdov
Eurasian Wigeon,eurwig
European Starling,eursta
Evening Grosbeak,evegro
Ferruginous Hawk,ferhaw
Field Sparrow,fiespa
Flammulated Owl,flaowl
Fox Sparrow,foxspa
Franklin's Gull,fragul
Gadwall,gadwal
Glaucous Gull,glagul
Glaucous-winged Gull,glwgul
Golden Eagle,goleag
Golden-crowned Kinglet,gockin
Golden-crowned Sparrow,gocspa
Gray-crowned Rosy-Finch,gcrfin
Great Blue Heron,grbher3
Great Egret,greegr
Great Gray Owl,grgowl
Great Horned Owl,grhowl
Greater Scaup,gresca
Greater White-fronted Goose,gwfgoo
Greater Yellowlegs,greyel
Green Heron,grnher
Green-winged Teal,gnwtea
Gyrfalcon,gyrfal
Hairy Woodpecker,haiwoo
Hammond's Flycatcher,hamfly
Harlequin Duck,harduc
Hermit Thrush,herthr
Hermit Warbler,herwar
Herring Gull,hergul
Hooded Merganser,hoomer
Horned Grebe,horgre
Horned Lark,horlar
House Finch,houfin
House Sparrow,houspa
House Wren,houwre
Hutton's Vireo,hutvir
Killdeer,killde
Lark Sparrow,larspa
Lazuli Bunting,lazbun
Least Flycatcher,leafly
Least Sandpiper,leasan
Least Tern,leater1
Lesser Goldfinch,lesgol
Lesser Scaup,lessca
Lesser Yellowlegs,lesyel
Lewis's Woodpecker,lewwoo
Lincoln's Sparrow,linspa
Loggerhead Shrike,logshr
Long-billed Curlew,lobcur
Long-billed Dowitcher,lobdow
Long-eared Owl,loeowl
Long-tailed Duck,lotduc
MacGillivray's Warbler,macwar
Mallard,mallar3
Marbled Godwit,margod
Marbled Murrelet,marmur
Marsh Wren,marwre
Merlin,merlin
Mountain Bluebird,moublu
Mountain Chickadee,mouchi
Mountain Quail,mouqua
Mourning Dove,moudov
Nashville Warbler,naswar
Northern Flicker,norfli
Northern Fulmar,norful
Northern Harrier,norhar2
Northern Hawk Owl,nohowl
Northern Pintail,norpin
Northern Pygmy-Owl,nopowl
Northern Rough-winged Swallow,nrwswa
Northern Saw-whet Owl,nswowl
Northern Shoveler,norsho
Northern Shrike,norshr4
Olive-sided Flycatcher,olsfly
Orange-crowned Warbler,orcwar
Osprey,osprey
Pacific Golden-Plover,pagplo
Pacific Loon,pacloo
Pacific Wren,pacwre1
Pelagic Cormorant,pelcor
Peregrine Falcon,perfal
Pied-billed Grebe,pibgre
Pigeon Guillemot,piggui
Pileated Woodpecker,pilwoo
Pine Grosbeak,pingro
Pine Siskin,pinsis
Pinyon Jay,pinjay
Prairie Falcon,prafal
Purple Finch,purfin
Purple Martin,purmar
Pygmy Nuthatch,pygnut
Red Crossbill,redcro
Red Knot,redkno
Red-breasted Merganser,rebmer
Red-breasted Nuthatch,rebnut
Red-breasted Sapsucker,rebsap
Red-eyed Vireo,reevir1
Red-naped Sapsucker,rensap
Red-necked Phalarope,renpha
Red-shouldered Hawk,reshaw
Red-tailed Hawk,rethaw
Red-winged Blackbird,rewbla
Redhead,redhea
Rhinoceros Auklet,rhiauk
Ring-billed Gull,ribgul
Ring-necked Duck,rinduc
Ring-necked Pheasant,rinphe1
Rock Pigeon,rocpig
Rock Sandpiper,rocsan
Rock Wren,rocwre
Rough-legged Hawk,rolhaw
Ruby-crowned Kinglet,ruckin
Ruddy Duck,rudduc
Ruddy Turnstone,rudtur
Ruffed Grouse,rufgro
Rufous Hummingbird,rufhum
Sage Thrasher,sagthr
Sagebrush Sparrow,sagspa1
Sanderling,sander
Sandhill Crane,sancra
Savannah Sparrow,savspa
Say's Phoebe,saypho
Semipalmated Sandpiper,semsan
Sharp-shinned Hawk,shshaw
Short-billed Dowitcher,shbdow
Short-eared Owl,sheowl
Snow Bunting,snobun
Snow Goose,snogoo
Snowy Owl,snoowl1
Snowy Plover,snoplo5
Solitary Sandpiper,solsan
Song Sparrow,sonspa
Sooty Grouse,soogro1
Sooty Shearwater,sooshe
Sora,sora
Spotted Owl,spoowl
Spotted Sandpiper,sposan
Spotted Towhee,spotow
Spruce Grouse,sprgro
Steller's Jay,stejay
Surf Scoter,sursco
Surfbird,surfbi
Swainson's Hawk,swahaw
Swainson's Thrush,swathr
Townsend's Solitaire,towsol
Townsend's Warbler,towwar
Tree Swallow,treswa
Tricolored Blackbird,tribla
Trumpeter Swan,truswa
Tufted Puffin,tufpuf
Tundra Swan,tunswa
Turkey Vulture,turvul
Varied Thrush,varthr
Vaux's Swift,vauswi
Vesper Sparrow,vesspa
Violet-green Swallow,vigswa
Virginia Rail,virrai
Wandering Tattler,wantat1
Warbling Vireo,warvir
Western Bluebird,wesblu
Western Flycatcher,wesfly
Western Grebe,wesgre
Western Gull,wesgul
Western Kingbird,weskin
Western Meadowlark,wesmea
Western Sandpiper,wessan
Western Screech-Owl,wesowl1
Western Tanager,westan
Western Wood-Pewee,wewpew
Whimbrel,whimbr
White-breasted Nuthatch,whbnut
White-crowned Sparrow,whcspa
White-headed Woodpecker,whhwoo
White-tailed Ptarmigan,whtpta1
White-throated Sparrow,whtspa
White-throated Swift,whtswi
Wild Turkey,wiltur
Willet,willet1
Willow Flycatcher,wilfly
Wilson's Snipe,wilsni1
Wilson's Warbler,wlswar
Wood Duck,wooduc
Yellow Warbler,yelwar
Yellow-headed Blackbird,yehbla
Yellow-rumped Warbler,yerwar